contexto,ordem,municipio,portal_oficial,url_informada,url_avaliada,status_validacao_browser,titulo,nota,praticas,aceitaveis,nao_aceitaveis,verificar_manual,json,pdf,erro
mt,264,,,https://www.sapezal.mt.gov.br/,https://www.sapezal.mt.gov.br/,,PREFEITURA DE SAPEZAL / MT,7.9,37,375,90,10,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.sapezal.mt.gov.br_001.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.sapezal.mt.gov.br_001.pdf,
mt,267,,,https://www.serranovadourada.mt.leg.br/,https://www.serranovadourada.mt.leg.br/,,Access denied | www.serranovadourada.mt.leg.br used Cloudflare to restrict access | www.serranovadourada.mt.leg.br | Cloudflare,8.7,17,30,28,3,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.serranovadourada.mt.leg.br_004.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.serranovadourada.mt.leg.br_004.pdf,
mt,268,,,https://www.sinop.mt.gov.br/,https://www.sinop.mt.gov.br/,,Access denied | www.sinop.mt.gov.br used Cloudflare to restrict access | www.sinop.mt.gov.br | Cloudflare,8.7,17,30,28,3,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.sinop.mt.gov.br_005.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.sinop.mt.gov.br_005.pdf,
mt,265,,,https://www.sapezal.mt.leg.br,https://www.sapezal.mt.leg.br,,,,,,,,,,Avaliação excedeu 45s.
mt,266,,,https://serranovadourada.mt.gov.br/,https://serranovadourada.mt.gov.br/,,,,,,,,,,Avaliação excedeu 45s.
mt,270,,,https://www.consorciovaledotelespires.com.br,https://www.consorciovaledotelespires.com.br,,Consórcio Público de Saúde Vale do Teles Pires,6.2,26,92,45,1,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.consorciovaledotelespires.com.br_007.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.consorciovaledotelespires.com.br_007.pdf,
mt,269,,,https://www.sinop.mt.leg.br/,https://www.sinop.mt.leg.br/,,Câmara Municipal de Sinop,7.9,41,504,40,13,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.sinop.mt.leg.br_006.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_www.sinop.mt.leg.br_006.pdf,
mt,271,,,https://site.sorriso.mt.gov.br/,https://site.sorriso.mt.gov.br/,,,,,,,,,,Avaliação excedeu 45s.
mt,273,,,https://saofelixdoaraguaia.mt.gov.br/,https://saofelixdoaraguaia.mt.gov.br/,,Prefeitura de São Félix do Araguaia/MT | Prefeitura São Félix do Araguaia,6.0,34,886,133,16,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_saofelixdoaraguaia.mt.gov.br_010.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_saofelixdoaraguaia.mt.gov.br_010.pdf,
mt,274,,,https://camarasaofelixdoaraguaia.mt.gov.br/,https://camarasaofelixdoaraguaia.mt.gov.br/,,Página Inicial - Câmara Municipal de São Félix do Araguaia | Gestão 2025-2026,7.2,32,259,84,22,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_camarasaofelixdoaraguaia.mt.gov.br_011.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/saida_mt/2026-09-21/19-32-40/accessmonitor_camarasaofelixdoaraguaia.mt.gov.br_011.pdf,
