ordem,url,download_http,bytes,titulo,nota,cloudflare_marker,html,json,pdf,erro
2,https://reservadocabacal.mt.leg.br/,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_reservadocabacal.mt.leg.br_002.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_reservadocabacal.mt.leg.br_002.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_reservadocabacal.mt.leg.br_002.pdf,
3,https://riobranco.mt.gov.br/,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_riobranco.mt.gov.br_003.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_riobranco.mt.gov.br_003.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_riobranco.mt.gov.br_003.pdf,
1,https://lambaridoeste.mt.gov.br,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_lambaridoeste.mt.gov.br_001.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_lambaridoeste.mt.gov.br_001.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_lambaridoeste.mt.gov.br_001.pdf,
6,https://saltodoceu.mt.leg.br/,,,,,,,,,[Errno 104] Connection reset by peer
7,https://valedesaodomingos.mt.gov.br,,,,,,,,,[Errno 104] Connection reset by peer
5,https://saltodoceu.mt.gov.br/,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_saltodoceu.mt.gov.br_005.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_saltodoceu.mt.gov.br_005.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_saltodoceu.mt.gov.br_005.pdf,
9,https://www.curvelandia.mt.gov.br/,,,,,,,,,[Errno 104] Connection reset by peer
10,https://www.gloriadoeste.mt.gov.br/,,,,,,,,,[Errno 104] Connection reset by peer
11,https://www.nascentesdopantanal.org.br,,,,,,,,,[Errno 104] Connection reset by peer
4,https://riobranco.mt.leg.br/,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_riobranco.mt.leg.br_004.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_riobranco.mt.leg.br_004.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_riobranco.mt.leg.br_004.pdf,
13,https://curvelandia.mt.gov.br/ouvidoria/formulario-on-line?tipo=den,,,,,,,,,[Errno 104] Connection reset by peer
12,https://www.reservadocabacal.mt.gov.br/,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_www.reservadocabacal.mt.gov.br_012.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_www.reservadocabacal.mt.gov.br_012.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_www.reservadocabacal.mt.gov.br_012.pdf,
14,https://gloriadoeste.mt.gov.br/ouvidoria/formulario-on-line,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_gloriadoeste.mt.gov.br_014.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_gloriadoeste.mt.gov.br_014.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_gloriadoeste.mt.gov.br_014.pdf,
8,https://valedesaodomingos.mt.leg.br/,200,61901,Câmara Municipal de Vale de São Domingos,7.9,True,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_valedesaodomingos.mt.leg.br_008.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_valedesaodomingos.mt.leg.br_008.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_valedesaodomingos.mt.leg.br_008.pdf,
15,https://lambaridoeste.mt.gov.br/ouvidoria/formulario-on-line,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_lambaridoeste.mt.gov.br_015.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_lambaridoeste.mt.gov.br_015.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_lambaridoeste.mt.gov.br_015.pdf,
16,https://reservadocabacal.mt.gov.br/ouvidoria/formulario-on-line,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_reservadocabacal.mt.gov.br_016.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_reservadocabacal.mt.gov.br_016.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_reservadocabacal.mt.gov.br_016.pdf,
17,https://saltodoceu.mt.gov.br/ouvidoria/formulario-on-line,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_saltodoceu.mt.gov.br_017.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_saltodoceu.mt.gov.br_017.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_saltodoceu.mt.gov.br_017.pdf,
18,https://www.riobranco.mt.gov.br/ouvidoria/formulario-on-line,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_www.riobranco.mt.gov.br_018.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_www.riobranco.mt.gov.br_018.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_www.riobranco.mt.gov.br_018.pdf,
19,https://www.valedesaodomingos.mt.gov.br/ouvidoria/formulario-on-line,403,14,,3.0,False,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/download_www.valedesaodomingos.mt.gov.br_019.html,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_www.valedesaodomingos.mt.gov.br_019.json,/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_accessmonitor/teste_html_lote/2026-09-21/20-41-20/accessmonitor_www.valedesaodomingos.mt.gov.br_019.pdf,
