ordem;codigo_municipio;municipio;poder;esfera;unidade_gestora;indice_transparencia_2025;nivel_transparencia;url;url_retornada_amaweb;associacao_url;resultado_coleta;nota_amaweb;nota_conteudo_institucional;titulo;data_avaliacao;tentativas;erros_a;erros_aa;erros_aaa;testes;aprovados;falhos;manuais;elementos_html;tamanho_bytes;arquivo_json;arquivo_pdf
1;5100102;Acorizal;Executivo;Municipal;Prefeitura Municipal de Acorizal;0.5632;Intermediário;https://www.acorizal.mt.gov.br/;;Sem JSON associado;Sem resultado AMAWeb;;;;;10;;;;;;;;;;;
2;5100102;Acorizal;Legislativo;Municipal;Câmara Municipal de Acorizal;0.3407;Básico;https://camaraacorizal.mt.gov.br/;;Sem JSON associado;Sem resultado AMAWeb;;;;;10;;;;;;;;;;;
3;5100250;Alta Floresta;Consórcios;Municipal;Consórcio Intermunicipal de Saúde da Região do Alto Tapajós;0.2637;Inicial;https://www.consorcioaltotapajos.com.br/#/home;https://www.consorcioaltotapajos.com.br/#/home;URL exata;Conteúdo institucional avaliado;7.1;7.1;CIS da Região do Alto Tapajós;2026-09-20 06:42:21;1;6;1;0;119;73;44;2;286;24968;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.consorcioaltotapajos.com.br_003.json;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.consorcioaltotapajos.com.br_003.pdf
4;5100250;Alta Floresta;Executivo;Municipal;Prefeitura Municipal de Alta Floresta;0.7825;Prata;https://www.altafloresta.mt.gov.br/;https://www.altafloresta.mt.gov.br/;URL exata;Conteúdo institucional avaliado;7.9;7.9;Página Inicial - Prefeitura Municipal de Alta Floresta;2026-09-20 06:43:08;1;5;4;0;792;559;202;31;1338;262053;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.gov.br_004.json;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.gov.br_004.pdf
5;5100250;Alta Floresta;Legislativo;Municipal;Câmara Municipal de Alta Floresta;0.9736;Diamante;https://www.altafloresta.mt.leg.br/;https://www.altafloresta.mt.leg.br/;URL exata;Conteúdo institucional avaliado;7.6;7.6;Página Inicial — Câmara Municipal;2026-09-20 06:42:52;1;9;1;1;299;211;73;15;550;107204;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.leg.br_005.json;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.leg.br_005.pdf
6;5100300;Alto Araguaia;Executivo;Municipal;Prefeitura Municipal de Alto Araguaia;0.9079999999999999;Ouro;https://altoaraguaia.mt.gov.br/;https://altoaraguaia.mt.gov.br/;URL exata;Conteúdo institucional avaliado;6.9;6.9;Prefeitura Municipal de Alto Araguaia;2026-09-20 06:43:10;1;9;1;1;414;256;134;24;892;142712;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_altoaraguaia.mt.gov.br_006.json;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_altoaraguaia.mt.gov.br_006.pdf
7;5100300;Alto Araguaia;Legislativo;Municipal;Câmara Municipal de Alto Araguaia;0.9179;Ouro;https://www.altoaraguaia.mt.leg.br/;https://www.altoaraguaia.mt.leg.br/;URL exata;Conteúdo institucional avaliado;7.6;7.6;Notícias — CÂMARA MUNICIPAL DE ALTO ARAGUAIA;2026-09-20 06:43:54;1;8;1;1;552;359;174;19;976;107110;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altoaraguaia.mt.leg.br_007.json;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altoaraguaia.mt.leg.br_007.pdf
8;5100359;Alto Boa Vista;Executivo;Municipal;Prefeitura Municipal de Alto Boa Vista;0.7342;Intermediário;https://www.altoboavista.mt.gov.br;;Sem JSON associado;Sem resultado AMAWeb;;;;;10;;;;;;;;;;;
9;5100409;Alto Garças;Executivo;Municipal;Prefeitura Municipal de Alto Garças;0.7195;Intermediário;https://www.altogarcas.mt.gov.br/;https://www.altogarcas.mt.gov.br/;URL exata;Conteúdo institucional avaliado;8.3;8.3;Página Inicial - Prefeitura de Altos Garças - MT;2026-09-20 06:43:39;1;5;0;0;637;580;22;35;1198;216797;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.gov.br_009.json;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.gov.br_009.pdf
10;5100409;Alto Garças;Legislativo;Municipal;Câmara Municipal de Alto Garças;0.7502;Prata;https://www.altogarcas.mt.leg.br/;https://www.altogarcas.mt.leg.br/;URL exata;Conteúdo institucional avaliado;7.6;7.6;Início - Câmara Municipal de Alto Garças - MT;2026-09-20 06:44:30;1;7;2;1;992;856;96;40;1659;208055;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.leg.br_010.json;/home/jesus/faculdade/grupo-pesquisa/Egov/analize_sites_Egov/webscrap_amaweb/saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.leg.br_010.pdf
