municipio;n_executivo;nota_executivo;n_legislativo;nota_legislativo;diferenca_executivo_menos_legislativo
Alta Floresta;1;7.9;1;7.6;0.3000000000000007
Alto Araguaia;1;6.9;1;7.6;-0.6999999999999993
Alto Garças;1;8.3;1;7.6;0.7000000000000011
Alto Taquari;1;9.2;1;6.0;3.1999999999999993
Apiacás;1;8.1;1;7.1;1.0
Araputanga;1;7.3;1;7.7;-0.40000000000000036
Barra do Bugres;1;7.6;1;6.7;0.8999999999999995
Barra do Garças;1;7.5;1;7.9;-0.40000000000000036
Brasnorte;1;6.1;1;8.8;-2.700000000000001
Campinápolis;1;7.7;1;8.2;-0.4999999999999991
Campo Novo do Parecis;1;7.1;1;8.0;-0.9000000000000004
Campo Verde;1;8.3;1;7.1;1.200000000000001
Carlinda;1;8.0;1;7.5;0.5
Chapada dos Guimarães;1;8.0;1;9.2;-1.1999999999999993
Cláudia;1;7.8;1;7.6;0.20000000000000018
Colniza;1;7.5;1;7.6;-0.09999999999999964
Colíder;1;7.5;1;7.1;0.40000000000000036
Comodoro;1;6.9;1;7.9;-1.0
Conquista D'Oeste;1;9.2;1;8.1;1.0999999999999996
Cuiabá;2;9.0;2;9.2;-0.1999999999999993
Cáceres;1;8.0;1;8.4;-0.40000000000000036
Diamantino;1;7.2;1;7.7;-0.5
Dom Aquino;1;6.8;1;6.0;0.7999999999999998
Feliz Natal;1;6.3;1;8.5;-2.2
Gaúcha do Norte;1;8.0;1;7.9;0.09999999999999964
Guiratinga;1;8.2;1;7.7;0.4999999999999991
Ipiranga do Norte;1;7.4;1;7.5;-0.09999999999999964
Itanhangá;1;7.0;1;8.5;-1.5
Itaúba;1;7.9;1;8.3;-0.40000000000000036
Itiquira;1;6.6;1;7.0;-0.40000000000000036
Jaciara;1;8.1;1;5.7;2.3999999999999995
Juara;1;6.8;1;7.8;-1.0
Juscimeira;1;6.5;1;6.1;0.40000000000000036
Juína;1;7.1;1;7.8;-0.7000000000000002
Lucas do Rio Verde;1;6.1;1;7.9;-1.8000000000000007
Marcelândia;1;5.5;1;7.8;-2.3
Matupá;1;6.7;1;8.3;-1.6000000000000005
Nobres;1;7.7;1;8.4;-0.7000000000000002
Nortelândia;1;7.7;1;6.4;1.2999999999999998
Nossa Senhora do Livramento;1;9.3;1;9.8;-0.5
Nova Canaã do Norte;1;6.7;1;7.9;-1.2000000000000002
Nova Guarita;1;7.5;1;7.5;0.0
Nova Marilândia;1;8.2;1;5.6;2.5999999999999996
Nova Maringá;1;8.0;1;8.0;0.0
Nova Monte Verde;1;8.1;1;7.6;0.5
Nova Mutum;1;6.8;1;7.4;-0.6000000000000005
Nova Nazaré;1;8.7;1;7.8;0.8999999999999995
Nova Olímpia;1;8.1;1;7.5;0.5999999999999996
Nova Santa Helena;1;8.9;1;7.8;1.1000000000000005
Nova Xavantina;1;7.4;1;8.0;-0.5999999999999996
Novo Horizonte do Norte;1;7.2;1;7.7;-0.5
Novo São Joaquim;1;7.6;1;7.4;0.1999999999999993
Paranatinga;1;7.9;1;7.7;0.20000000000000018
Paranaíta;1;7.1;1;7.6;-0.5
Pedra Preta;1;6.1;1;7.3;-1.2000000000000002
Peixoto de Azevedo;1;8.3;1;8.1;0.20000000000000107
Pontal do Araguaia;1;8.9;1;8.0;0.9000000000000004
Pontes e Lacerda;1;6.8;1;6.2;0.5999999999999996
Porto Esperidião;1;9.2;1;8.7;0.5
Poxoréu;1;7.5;1;7.8;-0.2999999999999998
Querência;1;5.9;1;7.6;-1.6999999999999993
Rondolândia;1;8.3;1;8.1;0.20000000000000107
Rondonópolis;1;7.6;1;6.4;1.1999999999999993
Santa Carmem;1;7.9;1;7.4;0.5
Santa Cruz do Xingu;1;8.1;1;8.4;-0.3000000000000007
Santa Rita do Trivelato;1;6.5;1;8.5;-2.0
Santo Antônio do Leste;1;8.0;1;8.3;-0.3000000000000007
Sapezal;1;8.4;1;7.8;0.6000000000000005
Sorriso;1;5.9;1;7.5;-1.5999999999999996
São Félix do Araguaia;1;6.8;1;8.2;-1.3999999999999995
São José do Povo;1;8.3;1;7.5;0.8000000000000007
São José do Rio Claro;1;6.5;1;8.5;-2.0
São José dos Quatro Marcos;1;7.4;1;8.5;-1.0999999999999996
São Pedro da Cipa;1;8.5;1;5.8;2.7
Tabaporã;1;6.4;1;8.6;-2.1999999999999993
Tangará da Serra;1;8.0;1;7.1;0.9000000000000004
Tapurah;1;7.9;1;7.5;0.40000000000000036
Terra Nova do Norte;1;8.4;1;7.8;0.6000000000000005
Vera;1;7.5;1;7.8;-0.2999999999999998
Vila Bela da Santíssima Trindade;1;8.3;1;8.7;-0.3999999999999986
Vila Rica;1;8.7;1;8.6;0.09999999999999964
