"ordem_na_retentativa","url","erro_observado"
"1","https://gws-sistemas.com.br/ouvidoria.pm.acorizal/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"2","https://ouvidoria.pm.altoboavista.gws-sistemas.com.br/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"3","https://araguaiana.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"4","https://gws-sistemas.com.br/ouvidoria.pm.bomjesusdoaraguaia/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"5","https://www.canabravadonorte.org/transparencia/ouvidoria/cadastrar-manifestacao","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"6","https://canarana.mt.gov.br/portal/","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"7","https://www.cocalinho.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"8","https://www.gws-sistemas.com.br/cartadeservico.pm.generalcarneiro/geral/ouvidoria-municipal","AMAWeb excedeu 120s de espera."
"9","https://gws-sistemas.com.br/ouvidoria.pm.indiavai/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"10","https://ouvidoria.jangada.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"11","https://www.jauru.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"12","https://prefjuara.ouvidoriabr.com/protocolo/novo/149","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"13","https://www.juruena.mt.gov.br/portal/ouvidoria/cadastro/1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"15","https://prefjuina.ouvidoriabr.com/protocolo/novo/165","AMAWeb excedeu 120s de espera."
"16","https://lambaridoeste.mt.gov.br/ouvidoria/formulario-on-line","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"17","https://lucasdorioverde.1doc.com.br/b.php?pg=o/central_servicos&tab=categoria&filter=01JJ6Z3KTJVF1FXVD799BHCXDN","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"18","https://gws-sistemas.com.br/ouvidoria.pm.luciara","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"21","https://mirassoldoeste.flowdocs.com.br:2053/public/home/subject/3","Avaliação recusada pelo AMAWeb: DNS_LOOKUP_FAILED"
"22","https://ouvidoria.nobres.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"23","https://ouvidoria.nortelandia.mt.gov.br/Manifestacao/","AMAWeb excedeu 120s de espera."
"25","https://ouvidoria.novabandeirantes.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"27","https://flowdocs-novacanaadonortemt.i7sgp.app.br/public/home/group/1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"28","https://ouvidoria.novaguarita.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"29","https://ouvidoria.novalacerda.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"32","https://ouvidoria.novamonteverde.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"33","https://prefnm.ouvidoriabr.com/protocolo/novo/2","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"35","https://ouvidoria.novaolimpia.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"37","https://www.novaubirata.mt.gov.br/ouvidoria","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"38","https://ouvidoria.novaxavantina.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"41","https://ouvidoria.novosantoantonio.mt.gov.br/Manifestacao/","AMAWeb excedeu 120s de espera."
"43","https://ouvidoria.paranatinga.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"44","https://ouvidoria.pedrapreta.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"45","https://ouvidoria.peixotodeazevedo.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"46","https://prefeitura-de-planalto-da-serra.webnode.page/ouvidoria/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"47","https://www.pocone.mt.gov.br/portal/ouvidoria/cadastro/1","AMAWeb excedeu 120s de espera."
"48","https://acessoainformacao.pontaldoaraguaia.mt.gov.br/cidadao/ouvidoria/solicitacaoservico","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"49","https://www.prefeituradepontebranca-mt.com.br/contato","AMAWeb excedeu 120s de espera."
"50","https://ponteselacerda.ouvidoriabr.com/protocolo/novo/234","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"51","https://ouvidoria.portoalegredonorte.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"52","https://ouvidoria.portoesperidiao.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"53","https://portoestrela.dinamikasistemas.com.br/ouvidoria/manifestacao","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"54","https://ouvidoria.portodosgauchos.mt.gov.br/Manifestacao/","Avaliação recusada pelo AMAWeb: DNS_LOOKUP_FAILED"
"58","https://reservadocabacal.mt.gov.br/ouvidoria/formulario-on-line","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"59","https://gws-sistemas.com.br/ouvidoria.pm.ribeiraocascalheira/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"60","https://www.ribeiraozinho.mt.gov.br/portal/ouvidoria/cadastro/1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"62","https://rondolandia.mt.gov.br/ouvidoria?tipo=1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"63","https://rondonopolis.ouvidoriabr.com/protocolo/novo/248","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"64","https://www.gp.srv.br/ouvidoria/rosariooeste/#/portal/1/manifestacao","AMAWeb excedeu 120s de espera."
"65","https://saltodoceu.mt.gov.br/ouvidoria/formulario-on-line","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
