"ordem_na_retentativa","url","erro_observado"
"1","https://gws-sistemas.com.br/ouvidoria.pm.acorizal/novo-protocolo","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"2","https://ouvidoria.pm.altoboavista.gws-sistemas.com.br/","Avaliação recusada pelo AMAWeb: DNS_LOOKUP_FAILED"
"3","https://araguaiana.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"4","https://gws-sistemas.com.br/ouvidoria.pm.bomjesusdoaraguaia/novo-protocolo","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"5","https://www.canabravadonorte.org/transparencia/ouvidoria/cadastrar-manifestacao","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"6","https://canarana.mt.gov.br/portal/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"7","https://www.cocalinho.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"8","https://www.gws-sistemas.com.br/cartadeservico.pm.generalcarneiro/geral/ouvidoria-municipal","AMAWeb excedeu 120s de espera."
"9","https://gws-sistemas.com.br/ouvidoria.pm.indiavai/novo-protocolo","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"11","https://www.jauru.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"14","https://prefjuina.ouvidoriabr.com/protocolo/novo/165","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"17","https://gws-sistemas.com.br/ouvidoria.pm.luciara","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"18","https://mirassoldoeste.flowdocs.com.br:2053/public/home/subject/3","Avaliação recusada pelo AMAWeb: DNS_LOOKUP_FAILED"
"21","https://ouvidoria.novabandeirantes.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"22","https://flowdocs-novacanaadonortemt.i7sgp.app.br/public/home/group/1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"24","https://ouvidoria.novalacerda.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"26","https://prefnm.ouvidoriabr.com/protocolo/novo/2","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"27","https://ouvidoria.novaolimpia.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"28","https://www.novaubirata.mt.gov.br/ouvidoria","AMAWeb excedeu 120s de espera."
"30","https://ouvidoria.novosantoantonio.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"33","https://ouvidoria.peixotodeazevedo.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"34","https://prefeitura-de-planalto-da-serra.webnode.page/ouvidoria/","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"36","https://acessoainformacao.pontaldoaraguaia.mt.gov.br/cidadao/ouvidoria/solicitacaoservico","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"37","https://www.prefeituradepontebranca-mt.com.br/contato","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"42","https://ouvidoria.portodosgauchos.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"43","https://reservadocabacal.mt.gov.br/ouvidoria/formulario-on-line","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"44","https://gws-sistemas.com.br/ouvidoria.pm.ribeiraocascalheira/novo-protocolo","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"45","https://www.ribeiraozinho.mt.gov.br/portal/ouvidoria/cadastro/1","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"47","https://rondonopolis.ouvidoriabr.com/protocolo/novo/248","sem linha de conclusão"
"50","https://ouvidoria.santacarmem.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"51","https://ouvidoria.santacruzdoxingu.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"53","https://ouvidoria.santaterezinha.mt.gov.br/ouvidoria/form","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"54","https://ouvidoria.serranovadourada.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"55","https://www.gp.srv.br/ouvidoria/sinop/#/portal/1/manifestacao","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"56","https://saofelixdoaraguaia.centi.com.br/ouvidoria","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"58","https://ouvidoria.saojosedoxingu.mt.gov.br/Manifestacao/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"59","https://tabapora.ouvidoriabr.com/protocolo/novo/1247","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"60","https://tangaradaserra.1doc.com.br/b.php?pg=wp/wp&itd=4","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"64","https://www.aguaboa.mt.gov.br/servicos/ouvidoria","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
