"url","erro_final"
"https://gws-sistemas.com.br/ouvidoria.pm.acorizal/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"https://ouvidoria.pm.altoboavista.gws-sistemas.com.br/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"https://araguaiana.mt.gov.br/ouvidoria-identificada","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"https://gws-sistemas.com.br/ouvidoria.pm.bomjesusdoaraguaia/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"https://www.canabravadonorte.org/transparencia/ouvidoria/cadastrar-manifestacao","AMAWeb excedeu 120s de espera."
"https://canarana.mt.gov.br/portal/","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"https://www.cocalinho.mt.gov.br/ouvidoria-identificada","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"https://www.gws-sistemas.com.br/cartadeservico.pm.generalcarneiro/geral/ouvidoria-municipal","AMAWeb excedeu 120s de espera."
"https://gws-sistemas.com.br/ouvidoria.pm.indiavai/novo-protocolo","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED"
"https://gws-sistemas.com.br/ouvidoria.pm.luciara","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"https://mirassoldoeste.flowdocs.com.br:2053/public/home/subject/3","Avaliação recusada pelo AMAWeb: DNS_LOOKUP_FAILED"
"https://flowdocs-novacanaadonortemt.i7sgp.app.br/public/home/group/1","AMAWeb excedeu 120s de espera."
"https://www.novaubirata.mt.gov.br/ouvidoria","AMAWeb excedeu 120s de espera."
"https://prefeitura-de-planalto-da-serra.webnode.page/ouvidoria/","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"https://acessoainformacao.pontaldoaraguaia.mt.gov.br/cidadao/ouvidoria/solicitacaoservico","AMAWeb excedeu 120s de espera."
"https://gws-sistemas.com.br/ouvidoria.pm.ribeiraocascalheira/novo-protocolo","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out"
"https://www.aguaboa.mt.gov.br/servicos/ouvidoria","AMAWeb excedeu 120s de espera."
