"ordem","municipio","url_final_ou_tentada","categoria","status_validacao_browser","resultado_amaweb","observacao"
"1","Acorizal","https://gws-sistemas.com.br/ouvidoria.pm.acorizal/novo-protocolo","FALHA_AMAWEb_SEM_JSON_PDF","FORMULARIO_FINAL_CONFIRMADO","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out","Sem JSON/PDF após retentativas com timeout de 120 s."
"4","Alto Boa Vista","https://ouvidoria.pm.altoboavista.gws-sistemas.com.br/","FALHA_AMAWEb_SEM_JSON_PDF","ERRO_DNS","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out","Sem JSON/PDF após retentativas com timeout de 120 s."
"9","Araguaiana","https://araguaiana.mt.gov.br/ouvidoria-identificada","FALHA_AMAWEb_SEM_JSON_PDF","FORMULARIO_FINAL_CONFIRMADO","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED","Sem JSON/PDF após retentativas com timeout de 120 s."
"15","Barra do Garças","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","URL_GENERICA_COMPARTILHADA_SEM_ROTA_MUNICIPAL","FORMULARIO_FINAL_CONFIRMADO","Avaliada uma vez para Araguainha (#10); JSON/PDF compartilhável.","Fala.BR genérico, sem município pré-selecionado; URL idêntica deduplicada no lote."
"18","Bom Jesus do Araguaia","https://gws-sistemas.com.br/ouvidoria.pm.bomjesusdoaraguaia/novo-protocolo","FALHA_AMAWEb_SEM_JSON_PDF","FORMULARIO_FINAL_CONFIRMADO","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out","Sem JSON/PDF após retentativas com timeout de 120 s."
"24","Canabrava do Norte","https://www.canabravadonorte.org/transparencia/ouvidoria/cadastrar-manifestacao","FALHA_AMAWEb_SEM_JSON_PDF","FORMULARIO_FINAL_CONFIRMADO","AMAWeb excedeu 120s de espera.","Sem JSON/PDF após retentativas com timeout de 120 s."
"25","Canarana","https://canarana.mt.gov.br/portal/","FALHA_AMAWEb_SEM_JSON_PDF","ERRO_TLS_CERT_DATE_INVALID","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED","Sem JSON/PDF após retentativas com timeout de 120 s."
"29","Cláudia","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","URL_GENERICA_COMPARTILHADA_SEM_ROTA_MUNICIPAL","FORMULARIO_FINAL_CONFIRMADO","Avaliada uma vez para Araguainha (#10); JSON/PDF compartilhável.","Fala.BR genérico, sem município pré-selecionado; URL idêntica deduplicada no lote."
"30","Cocalinho","https://www.cocalinho.mt.gov.br/ouvidoria-identificada","FALHA_AMAWEb_SEM_JSON_PDF","FORMULARIO_FINAL_CONFIRMADO","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out","Sem JSON/PDF após retentativas com timeout de 120 s."
"46","General Carneiro","https://www.gws-sistemas.com.br/cartadeservico.pm.generalcarneiro/geral/ouvidoria-municipal","FALHA_AMAWEb_SEM_JSON_PDF","PORTAL_INTERMEDIARIO_SEM_LINK","AMAWeb excedeu 120s de espera.","Sem JSON/PDF após retentativas com timeout de 120 s."
"50","Indiavaí","https://gws-sistemas.com.br/ouvidoria.pm.indiavai/novo-protocolo","FALHA_AMAWEb_SEM_JSON_PDF","FORMULARIO_FINAL_CONFIRMADO","Avaliação recusada pelo AMAWeb: EVALUATION_FAILED","Sem JSON/PDF após retentativas com timeout de 120 s."
"64","Luciara","https://gws-sistemas.com.br/ouvidoria.pm.luciara","FALHA_AMAWEb_SEM_JSON_PDF","SEM_CONTEUDO_VISIVEL","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out","Sem JSON/PDF após retentativas com timeout de 120 s."
"67","Mirassol d’Oeste","https://mirassoldoeste.flowdocs.com.br:2053/public/home/subject/3","FALHA_AMAWEb_SEM_JSON_PDF","PORTAL_INTERMEDIARIO_SELECAO_SERVICO","Avaliação recusada pelo AMAWeb: DNS_LOOKUP_FAILED","Sem JSON/PDF após retentativas com timeout de 120 s."
"73","Nova Canaã do Norte","https://flowdocs-novacanaadonortemt.i7sgp.app.br/public/home/group/1","FALHA_AMAWEb_SEM_JSON_PDF","PORTAL_INTERMEDIARIO_SELECAO_SERVICO","AMAWeb excedeu 120s de espera.","Sem JSON/PDF após retentativas com timeout de 120 s."
"83","Nova Ubiratã","https://www.novaubirata.mt.gov.br/ouvidoria","FALHA_AMAWEb_SEM_JSON_PDF","SEM_CONTEUDO_VISIVEL","AMAWeb excedeu 120s de espera.","Sem JSON/PDF após retentativas com timeout de 120 s."
"90","Paranaíta","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","URL_GENERICA_COMPARTILHADA_SEM_ROTA_MUNICIPAL","FORMULARIO_FINAL_CONFIRMADO","Avaliada uma vez para Araguainha (#10); JSON/PDF compartilhável.","Fala.BR genérico, sem município pré-selecionado; URL idêntica deduplicada no lote."
"93","Planalto da Serra","https://prefeitura-de-planalto-da-serra.webnode.page/ouvidoria/","FALHA_AMAWEb_SEM_JSON_PDF","FORMULARIO_FINAL_CONFIRMADO","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out","Sem JSON/PDF após retentativas com timeout de 120 s."
"95","Pontal do Araguaia","https://acessoainformacao.pontaldoaraguaia.mt.gov.br/cidadao/ouvidoria/solicitacaoservico","FALHA_AMAWEb_SEM_JSON_PDF","PORTAL_INTERMEDIARIO_SOLICITACAO","AMAWeb excedeu 120s de espera.","Sem JSON/PDF após retentativas com timeout de 120 s."
"106","Ribeirão Cascalheira","https://gws-sistemas.com.br/ouvidoria.pm.ribeiraocascalheira/novo-protocolo","FALHA_AMAWEb_SEM_JSON_PDF","FORMULARIO_FINAL_CONFIRMADO","Não foi possível acessar AMAWeb: _ssl.c:1016: The handshake operation timed out","Sem JSON/PDF após retentativas com timeout de 120 s."
"123","Sorriso","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","URL_GENERICA_COMPARTILHADA_SEM_ROTA_MUNICIPAL","FORMULARIO_FINAL_CONFIRMADO","Avaliada uma vez para Araguainha (#10); JSON/PDF compartilhável.","Fala.BR genérico, sem município pré-selecionado; URL idêntica deduplicada no lote."
"141","Várzea Grande","https://falabr.cgu.gov.br/v2/manifestacoes/registrar","URL_GENERICA_COMPARTILHADA_SEM_ROTA_MUNICIPAL","FORMULARIO_FINAL_CONFIRMADO","Avaliada uma vez para Araguainha (#10); JSON/PDF compartilhável.","Fala.BR genérico, sem município pré-selecionado; URL idêntica deduplicada no lote."
"142","Água Boa","https://www.aguaboa.mt.gov.br/servicos/ouvidoria","FALHA_AMAWEb_SEM_JSON_PDF","BLOQUEIO_CLOUDFLARE","AMAWeb excedeu 120s de espera.","Sem JSON/PDF após retentativas com timeout de 120 s."
