ordem;url;titulo;nota;status;json;pdf
"1";"https://www.acorizal.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"2";"https://camaraacorizal.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"3";"https://www.consorcioaltotapajos.com.br/#/home";"CIS da Região do Alto Tapajós";"7.1";"Concluída";"amaweb_www.consorcioaltotapajos.com.br_003.json";"amaweb_www.consorcioaltotapajos.com.br_003.pdf"
"4";"https://www.altafloresta.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Alta Floresta";"7.9";"Concluída";"amaweb_www.altafloresta.mt.gov.br_004.json";"amaweb_www.altafloresta.mt.gov.br_004.pdf"
"5";"https://www.altafloresta.mt.leg.br/";"Página Inicial — Câmara Municipal";"7.6";"Concluída";"amaweb_www.altafloresta.mt.leg.br_005.json";"amaweb_www.altafloresta.mt.leg.br_005.pdf"
"6";"https://altoaraguaia.mt.gov.br/";"Prefeitura Municipal de Alto Araguaia";"6.9";"Concluída";"amaweb_altoaraguaia.mt.gov.br_006.json";"amaweb_altoaraguaia.mt.gov.br_006.pdf"
"7";"https://www.altoaraguaia.mt.leg.br/";"Notícias — CÂMARA MUNICIPAL DE ALTO ARAGUAIA";"7.6";"Concluída";"amaweb_www.altoaraguaia.mt.leg.br_007.json";"amaweb_www.altoaraguaia.mt.leg.br_007.pdf"
"8";"https://www.altoboavista.mt.gov.br";"";"";"Falha AMAWeb";"";""
"9";"https://www.altogarcas.mt.gov.br/";"Página Inicial - Prefeitura de Altos Garças - MT";"8.3";"Concluída";"amaweb_www.altogarcas.mt.gov.br_009.json";"amaweb_www.altogarcas.mt.gov.br_009.pdf"
"10";"https://www.altogarcas.mt.leg.br/";"Início - Câmara Municipal de Alto Garças - MT";"7.6";"Concluída";"amaweb_www.altogarcas.mt.leg.br_010.json";"amaweb_www.altogarcas.mt.leg.br_010.pdf"
"11";"https://www.altoparaguai.mt.gov.br/";"Página Inicial - Prefeitura de Alto Paraguai - MT";"7.4";"Concluída";"amaweb_www.altoparaguai.mt.gov.br_011.json";"amaweb_www.altoparaguai.mt.gov.br_011.pdf"
"12";"https://www.camaradealtoparaguai.com.br/";"";"";"Falha AMAWeb";"";""
"13";"https://www.altotaquari.mt.gov.br/";"Prefeitura Municipal";"9.2";"Concluída";"amaweb_www.altotaquari.mt.gov.br_013.json";"amaweb_www.altotaquari.mt.gov.br_013.pdf"
"14";"https://www.altotaquari.mt.leg.br/";"Camara Municipal de Alto Taquari";"6.0";"Concluída";"amaweb_www.altotaquari.mt.leg.br_014.json";"amaweb_www.altotaquari.mt.leg.br_014.pdf"
"15";"https://www.apiacas.mt.gov.br/";"Página Inicial - Prefeitura de Apiacás Apiacás - MT";"8.1";"Concluída";"amaweb_www.apiacas.mt.gov.br_015.json";"amaweb_www.apiacas.mt.gov.br_015.pdf"
"16";"https://www.camaraapiacas.mt.gov.br/";"Página Inicial - Câmara Apiacás";"7.1";"Concluída";"amaweb_www.camaraapiacas.mt.gov.br_016.json";"amaweb_www.camaraapiacas.mt.gov.br_016.pdf"
"17";"https://www.araguaiana.mt.gov.br/";"";"";"Falha AMAWeb";"";""
"18";"https://araguaiana.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"19";"https://araguainha.mt.gov.br/";"Prefeitura Municipal de Araguainha – Prefeitura Municipal de Araguainha";"8.7";"Concluída";"amaweb_araguainha.mt.gov.br_019.json";"amaweb_araguainha.mt.gov.br_019.pdf"
"20";"https://araguainha.mt.leg.br/";"";"";"Falha AMAWeb";"";""
"21";"https://araputanga.mt.gov.br/";"Prefeitura Municipal de Araputanga";"7.3";"Concluída";"amaweb_araputanga.mt.gov.br_021.json";"amaweb_araputanga.mt.gov.br_021.pdf"
"22";"https://araputanga.mt.leg.br/";"Câmara Municipal de Araputanga";"7.7";"Concluída";"amaweb_araputanga.mt.leg.br_022.json";"amaweb_araputanga.mt.leg.br_022.pdf"
"23";"https://www.arenapolis.mt.gov.br/";"Prefeitura Municipal de Arenápolis";"6.3";"Concluída";"amaweb_www.arenapolis.mt.gov.br_023.json";"amaweb_www.arenapolis.mt.gov.br_023.pdf"
