ordem;url;titulo;nota;status;tentativas;json;pdf
"1";"https://www.acorizal.mt.gov.br/";"";"";"Sem resultado AMAWeb";"5";"";""
"2";"https://camaraacorizal.mt.gov.br/";"";"";"Sem resultado AMAWeb";"5";"";""
"3";"https://www.consorcioaltotapajos.com.br/#/home";"CIS da Região do Alto Tapajós";"7.1";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.consorcioaltotapajos.com.br_003.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.consorcioaltotapajos.com.br_003.pdf"
"4";"https://www.altafloresta.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Alta Floresta";"7.9";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.gov.br_004.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.gov.br_004.pdf"
"5";"https://www.altafloresta.mt.leg.br/";"Página Inicial — Câmara Municipal";"7.6";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.leg.br_005.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.altafloresta.mt.leg.br_005.pdf"
"6";"https://altoaraguaia.mt.gov.br/";"Prefeitura Municipal de Alto Araguaia";"6.9";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_altoaraguaia.mt.gov.br_006.json";"saida_mt/2026-09-20/02-41-56/amaweb_altoaraguaia.mt.gov.br_006.pdf"
"7";"https://www.altoaraguaia.mt.leg.br/";"Notícias — CÂMARA MUNICIPAL DE ALTO ARAGUAIA";"7.6";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.altoaraguaia.mt.leg.br_007.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.altoaraguaia.mt.leg.br_007.pdf"
"8";"https://www.altoboavista.mt.gov.br";"";"";"Sem resultado AMAWeb";"5";"";""
"9";"https://www.altogarcas.mt.gov.br/";"Página Inicial - Prefeitura de Altos Garças - MT";"8.3";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.gov.br_009.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.gov.br_009.pdf"
"10";"https://www.altogarcas.mt.leg.br/";"Início - Câmara Municipal de Alto Garças - MT";"7.6";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.leg.br_010.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.altogarcas.mt.leg.br_010.pdf"
"11";"https://www.altoparaguai.mt.gov.br/";"Página Inicial - Prefeitura de Alto Paraguai - MT";"7.4";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.altoparaguai.mt.gov.br_011.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.altoparaguai.mt.gov.br_011.pdf"
"12";"https://www.camaradealtoparaguai.com.br/";"";"";"Sem resultado AMAWeb";"5";"";""
"13";"https://www.altotaquari.mt.gov.br/";"Prefeitura Municipal";"9.2";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.altotaquari.mt.gov.br_013.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.altotaquari.mt.gov.br_013.pdf"
"14";"https://www.altotaquari.mt.leg.br/";"Camara Municipal de Alto Taquari";"6.0";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.altotaquari.mt.leg.br_014.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.altotaquari.mt.leg.br_014.pdf"
"15";"https://www.apiacas.mt.gov.br/";"Página Inicial - Prefeitura de Apiacás Apiacás - MT";"8.1";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.apiacas.mt.gov.br_015.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.apiacas.mt.gov.br_015.pdf"
"16";"https://www.camaraapiacas.mt.gov.br/";"Página Inicial - Câmara Apiacás";"7.1";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.camaraapiacas.mt.gov.br_016.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.camaraapiacas.mt.gov.br_016.pdf"
"17";"https://www.araguaiana.mt.gov.br/";"";"";"Sem resultado AMAWeb";"5";"";""
"18";"https://araguaiana.mt.leg.br/";"";"";"Sem resultado AMAWeb";"5";"";""
"19";"https://araguainha.mt.gov.br/";"Prefeitura Municipal de Araguainha – Prefeitura Municipal de Araguainha";"8.7";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_araguainha.mt.gov.br_019.json";"saida_mt/2026-09-20/02-41-56/amaweb_araguainha.mt.gov.br_019.pdf"
"20";"https://araguainha.mt.leg.br/";"";"";"Sem resultado AMAWeb";"5";"";""
"21";"https://araputanga.mt.gov.br/";"Prefeitura Municipal de Araputanga";"7.3";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_araputanga.mt.gov.br_021.json";"saida_mt/2026-09-20/02-41-56/amaweb_araputanga.mt.gov.br_021.pdf"
"22";"https://araputanga.mt.leg.br/";"Câmara Municipal de Araputanga";"7.7";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_araputanga.mt.leg.br_022.json";"saida_mt/2026-09-20/02-41-56/amaweb_araputanga.mt.leg.br_022.pdf"
"23";"https://www.arenapolis.mt.gov.br/";"Prefeitura Municipal de Arenápolis";"6.3";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.arenapolis.mt.gov.br_023.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.arenapolis.mt.gov.br_023.pdf"
"24";"https://arenapolis.mt.leg.br/";"Access denied | arenapolis.mt.leg.br used Cloudflare to restrict access | arenapolis.mt.leg.br | Cloudflare";"9.6";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_arenapolis.mt.leg.br_024.json";"saida_mt/2026-09-20/02-41-56/amaweb_arenapolis.mt.leg.br_024.pdf"
"25";"https://www.aripuana.mt.gov.br/#/home";"Prefeitura Municipal de Aripuanã";"5.7";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.aripuana.mt.gov.br_025.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.aripuana.mt.gov.br_025.pdf"
"26";"https://camaraaripuanamt.com.br/index.php";"";"";"Sem resultado AMAWeb";"5";"";""
"27";"https://www.barradobugres.mt.gov.br/";"Prefeitura Municipal de Barra do Bugres | Gestão 2025-2028 – Site oficial da Prefeitura Municipal de Barra do Bugres";"7.6";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.barradobugres.mt.gov.br_027.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.barradobugres.mt.gov.br_027.pdf"
"28";"https://barradobugres.mt.leg.br";"Câmara Municipal de Barra do Bugres";"6.7";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_barradobugres.mt.leg.br_028.json";"saida_mt/2026-09-20/02-41-56/amaweb_barradobugres.mt.leg.br_028.pdf"
"29";"https://www.cisrga.com.br/#/home";"Cisrga";"7.3";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.cisrga.com.br_029.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.cisrga.com.br_029.pdf"
"30";"https://www.barradogarcas.mt.gov.br/";"Página Inicial - Prefeitura Municipal de Barra do Garças";"7.5";"Concluída";"1";"saida_mt/2026-09-20/02-41-56/amaweb_www.barradogarcas.mt.gov.br_030.json";"saida_mt/2026-09-20/02-41-56/amaweb_www.barradogarcas.mt.gov.br_030.pdf"
